,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
count,5634,5634.0,5634.0,5634.0,5634.0,5634.0,5634.0,5634,5634,5634,5634,5634,5634,5634,5634,5634,5634.0,5634,5634.0,5634,5634.0
unique,5634,,,,,,,3,3,3,3,3,3,3,3,3,,4,,5276,
top,4950-BDEUX,,,,,,,No,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,,20.2,
freq,1,,,,,,,2685,2483,2797,2442,2472,2771,2226,2217,3102,,1891,,9,
mean,,0.4971600993965211,0.16329428470003549,0.48438054668086616,0.29801206957756476,32.48509052183174,0.9007809726659567,,,,,,,,,,0.5912318068867589,,64.92996095136671,,0.2653532126375577
std,,0.5000363135384802,0.3696667640383378,0.4998003308241989,0.4574254195072393,24.56874351182127,0.29898240450483343,,,,,,,,,,0.4916499376084578,,30.138105357938493,,0.44156029273372516
min,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,18.4,,0.0
25%,,0.0,0.0,0.0,0.0,9.0,1.0,,,,,,,,,,0.0,,35.6625,,0.0
50%,,0.0,0.0,0.0,0.0,29.0,1.0,,,,,,,,,,1.0,,70.5,,0.0
75%,,1.0,0.0,1.0,1.0,55.0,1.0,,,,,,,,,,1.0,,90.0,,1.0
max,,1.0,1.0,1.0,1.0,72.0,1.0,,,,,,,,,,1.0,,118.75,,1.0
